LENGHT,NUMBEROFSAMPLES,ROC_AUC_SCORE,Testsize,DatasetName,MemberFunction,LossFunction
18,38.0,0.625,0.8,1,Gauss,L1
19,36.0,0.6470588235294118,0.8,1,Gauss,L1
20,32.0,0.6333333333333333,0.8,1,Gauss,L1
21,28.0,0.6923076923076923,0.8,1,Gauss,L1
22,24.0,0.6363636363636364,0.8,1,Gauss,L1
23,21.0,0.5789473684210527,0.8,1,Gauss,L1
24,19.0,0.6470588235294117,0.8,1,Gauss,L1
25,17.0,0.6,0.8,1,Gauss,L1
26,16.0,0.5714285714285714,0.8,1,Gauss,L1
27,16.0,0.5714285714285714,0.8,1,Gauss,L1
28,15.0,0.5384615384615384,0.8,1,Gauss,L1
29,13.0,0.5909090909090908,0.8,1,Gauss,L1
1,157.0,0.4792166266986411,0.6,1,Gauss,L1
2,157.0,0.5091926458832934,0.6,1,Gauss,L1
3,157.0,0.4656274980015987,0.6,1,Gauss,L1
4,157.0,0.4724220623501198,0.6,1,Gauss,L1
5,157.0,0.4892086330935251,0.6,1,Gauss,L1
6,157.0,0.5631494804156675,0.6,1,Gauss,L1
7,157.0,0.6039168665067945,0.6,1,Gauss,L1
8,157.0,0.6071143085531575,0.6,1,Gauss,L1
9,154.0,0.6102941176470589,0.6,1,Gauss,L1
10,152.0,0.6098673300165838,0.6,1,Gauss,L1
11,141.0,0.662,0.6,1,Gauss,L1
12,129.0,0.6503105590062113,0.6,1,Gauss,L1
13,109.0,0.685858585858586,0.6,1,Gauss,L1
14,90.0,0.7347560975609756,0.6,1,Gauss,L1
15,78.0,0.7267857142857143,0.6,1,Gauss,L1
16,60.0,0.6234567901234568,0.6,1,Gauss,L1
17,49.0,0.6818181818181819,0.6,1,Gauss,L1
18,38.0,0.486111111111111,0.6,1,Gauss,L1
19,36.0,0.4705882352941176,0.6,1,Gauss,L1
20,32.0,0.4666666666666667,0.6,1,Gauss,L1
21,28.0,0.4038461538461538,0.6,1,Gauss,L1
22,24.0,0.3863636363636364,0.6,1,Gauss,L1
23,21.0,0.3684210526315789,0.6,1,Gauss,L1
24,19.0,0.4117647058823529,0.6,1,Gauss,L1
25,17.0,0.3666666666666667,0.6,1,Gauss,L1
26,16.0,0.4285714285714285,0.6,1,Gauss,L1
27,16.0,0.4285714285714285,0.6,1,Gauss,L1
28,15.0,0.3461538461538461,0.6,1,Gauss,L1
29,13.0,0.3181818181818182,0.6,1,Gauss,L1
1,157.0,0.3768984812150279,0.4,1,Gauss,L1
2,157.0,0.4152677857713829,0.4,1,Gauss,L1
3,157.0,0.3725019984012789,0.4,1,Gauss,L1
4,157.0,0.3353317346123101,0.4,1,Gauss,L1
5,157.0,0.3808952837729816,0.4,1,Gauss,L1
6,157.0,0.4344524380495603,0.4,1,Gauss,L1
7,157.0,0.4284572342126299,0.4,1,Gauss,L1
8,157.0,0.4312549960031974,0.4,1,Gauss,L1
9,154.0,0.4334150326797386,0.4,1,Gauss,L1
10,152.0,0.4137645107794361,0.4,1,Gauss,L1
11,141.0,0.446,0.4,1,Gauss,L1
12,129.0,0.4254658385093167,0.4,1,Gauss,L1
13,109.0,0.4898989898989899,0.4,1,Gauss,L1
14,90.0,0.5396341463414634,0.4,1,Gauss,L1
15,78.0,0.5303571428571427,0.4,1,Gauss,L1
16,60.0,0.5308641975308642,0.4,1,Gauss,L1
17,49.0,0.5909090909090909,0.4,1,Gauss,L1
18,38.0,0.8194444444444444,0.4,1,Gauss,L1
19,36.0,0.8088235294117646,0.4,1,Gauss,L1
20,32.0,0.7833333333333334,0.4,1,Gauss,L1
21,28.0,0.7692307692307693,0.4,1,Gauss,L1
22,24.0,0.75,0.4,1,Gauss,L1
23,21.0,0.736842105263158,0.4,1,Gauss,L1
24,19.0,0.7647058823529411,0.4,1,Gauss,L1
25,17.0,0.7666666666666666,0.4,1,Gauss,L1
26,16.0,0.75,0.4,1,Gauss,L1
27,16.0,0.7857142857142856,0.4,1,Gauss,L1
28,15.0,0.7692307692307693,0.4,1,Gauss,L1
29,13.0,0.7272727272727273,0.4,1,Gauss,L1
1,157.0,0.5359712230215827,0.19999999999999996,1,Gauss,L1
2,157.0,0.5147881694644285,0.19999999999999996,1,Gauss,L1
3,157.0,0.4676258992805755,0.19999999999999996,1,Gauss,L1
4,157.0,0.4108713029576338,0.19999999999999996,1,Gauss,L1
5,157.0,0.4552358113509193,0.19999999999999996,1,Gauss,L1
6,157.0,0.5251798561151079,0.19999999999999996,1,Gauss,L1
7,157.0,0.539568345323741,0.19999999999999996,1,Gauss,L1
8,157.0,0.5479616306954436,0.19999999999999996,1,Gauss,L1
9,154.0,0.5506535947712419,0.19999999999999996,1,Gauss,L1
10,152.0,0.5522388059701492,0.19999999999999996,1,Gauss,L1
11,141.0,0.6144999999999999,0.19999999999999996,1,Gauss,L1
12,129.0,0.6192546583850932,0.19999999999999996,1,Gauss,L1
13,109.0,0.6272727272727272,0.19999999999999996,1,Gauss,L1
14,90.0,0.6585365853658537,0.19999999999999996,1,Gauss,L1
15,78.0,0.6428571428571428,0.19999999999999996,1,Gauss,L1
16,60.0,0.5154320987654322,0.19999999999999996,1,Gauss,L1
17,49.0,0.5545454545454546,0.19999999999999996,1,Gauss,L1
18,38.0,0.3194444444444444,0.19999999999999996,1,Gauss,L1
19,36.0,0.3382352941176471,0.19999999999999996,1,Gauss,L1
20,32.0,0.35,0.19999999999999996,1,Gauss,L1
21,28.0,0.3076923076923076,0.19999999999999996,1,Gauss,L1
22,24.0,0.3409090909090909,0.19999999999999996,1,Gauss,L1
23,21.0,0.3421052631578947,0.19999999999999996,1,Gauss,L1
24,19.0,0.3235294117647059,0.19999999999999996,1,Gauss,L1
25,17.0,0.3333333333333333,0.19999999999999996,1,Gauss,L1
26,16.0,0.3571428571428571,0.19999999999999996,1,Gauss,L1
27,16.0,0.3571428571428571,0.19999999999999996,1,Gauss,L1
28,15.0,0.2692307692307692,0.19999999999999996,1,Gauss,L1
29,13.0,0.2272727272727272,0.19999999999999996,1,Gauss,L1
1,157.0,0.4648281374900079,0.09999999999999998,1,Gauss,L1
2,157.0,0.4676258992805755,0.09999999999999998,1,Gauss,L1
3,157.0,0.4596322941646683,0.09999999999999998,1,Gauss,L1
4,157.0,0.4020783373301358,0.09999999999999998,1,Gauss,L1
5,157.0,0.4280575539568345,0.09999999999999998,1,Gauss,L1
6,157.0,0.5063948840927257,0.09999999999999998,1,Gauss,L1
7,157.0,0.5495603517186252,0.09999999999999998,1,Gauss,L1
8,157.0,0.5499600319744204,0.09999999999999998,1,Gauss,L1
9,154.0,0.551062091503268,0.09999999999999998,1,Gauss,L1
10,152.0,0.5410447761194029,0.09999999999999998,1,Gauss,L1
11,141.0,0.592,0.09999999999999998,1,Gauss,L1
12,129.0,0.6006211180124224,0.09999999999999998,1,Gauss,L1
13,109.0,0.5949494949494949,0.09999999999999998,1,Gauss,L1
14,90.0,0.6737804878048781,0.09999999999999998,1,Gauss,L1
15,78.0,0.6642857142857144,0.09999999999999998,1,Gauss,L1
16,60.0,0.5555555555555556,0.09999999999999998,1,Gauss,L1
17,49.0,0.6136363636363636,0.09999999999999998,1,Gauss,L1
18,38.0,0.6388888888888888,0.09999999999999998,1,Gauss,L1
19,36.0,0.6029411764705882,0.09999999999999998,1,Gauss,L1
20,32.0,0.6166666666666667,0.09999999999999998,1,Gauss,L1
21,28.0,0.5961538461538461,0.09999999999999998,1,Gauss,L1
22,24.0,0.5454545454545454,0.09999999999999998,1,Gauss,L1
23,21.0,0.5,0.09999999999999998,1,Gauss,L1
24,19.0,0.6176470588235294,0.09999999999999998,1,Gauss,L1
25,17.0,0.6,0.09999999999999998,1,Gauss,L1
26,16.0,0.5714285714285714,0.09999999999999998,1,Gauss,L1
27,16.0,0.5714285714285714,0.09999999999999998,1,Gauss,L1
28,15.0,0.5384615384615384,0.09999999999999998,1,Gauss,L1
29,13.0,0.5,0.09999999999999998,1,Gauss,L1
